model_id,algorithm_id,mean_test_accuracy,mean_test_precision_micro,mean_test_precision_macro,mean_test_precision_weighted,mean_test_recall_micro,mean_test_recall_macro,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_micro,geometric_mean_score_macro,geometric_mean_score_weighted,matthews_corrcoef,f5_micro,f5_macro,f5_weighted,f1_micro,f1_macro,f1_weighted,f2_micro,f2_macro,f2_weighted,log_loss
2875,10,0.9021479714,0.9021479714,0.8084612364,0.8862432633,0.9021479714,0.5621757576,0.9021479714,0.9067515152,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.029127845
2876,10,0.9016706444,0.9016706444,0.798717057,0.8841620618,0.9016706444,0.5619090909,0.9016706444,0.9068121212,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0316306884
2877,10,0.9021479714,0.9021479714,0.8084612364,0.8862432633,0.9021479714,0.5621757576,0.9021479714,0.9074424242,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0319225579
2878,10,0.9021479714,0.9021479714,0.8084612364,0.8862432633,0.9021479714,0.5621757576,0.9021479714,0.9076,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.034636844
2879,10,0.9021479714,0.9021479714,0.8084612364,0.8862432633,0.9021479714,0.5621757576,0.9021479714,0.9075030303,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0370782535
2880,10,0.9021479714,0.9021479714,0.8084612364,0.8862432633,0.9021479714,0.5621757576,0.9021479714,0.9075030303,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0371413612
2881,10,0.9021479714,0.9021479714,0.8084612364,0.8862432633,0.9021479714,0.5621757576,0.9021479714,0.907369697,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0399042252
2882,10,0.9016706444,0.9016706444,0.798717057,0.8841620618,0.9016706444,0.5619090909,0.9016706444,0.9073575758,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0423892627
2883,10,0.9016706444,0.9016706444,0.798717057,0.8841620618,0.9016706444,0.5619090909,0.9016706444,0.9073939394,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0435035068
2884,10,0.9021479714,0.9021479714,0.8084612364,0.8862432633,0.9021479714,0.5621757576,0.9021479714,0.9073212121,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0461822084
